Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Theoretical - No Known Name,,1 3 4# 6 7b 7 .,100010100111,6,3.7333,C E F# A Bb B .,(2L) (L) (L+s) (s) (L-s) (s),8-245-3 .,,Am,,
Theoretical - No Known Name,,1 3 4# 5 5# 7 .,100010111001,6,3.7333,C E F# G G# B .,(2L) (L) (s) (L-s) (L+s) (s),8-348-1 .,C E,Em,C+,
Theoretical - No Known Name,,1 3 4# 5 5# 6 .,100010111100,6,3.7333,C E F# G G# A .,(2L) (L) (s) (L-s) (s) (L+s),8-368-1 .,C,Am,C+,
Theoretical - No Known Name,,1 3 4 6b 6 7b .,100011001110,6,3.7333,C E F Ab A Bb  .,(2L) (s) (L+s) (L-s) (s) (L),8-267-5 .,F,Fm Am,Ab+,
Theoretical - No Known Name,,1 3 4 4# 5 7b .,100011110010,6,3.7333,C E F F# G Bb .,(2L) (s) (L-s) (s) (L+s) (L),8-568-3 .,C,,,Edim
Theoretical - No Known Name,,1 3b 5 6 7b 7 .,100100010111,6,3.7333,C Eb G A Bb B .,(L+s) (2L) (L) (s) (L-s) (s),8-368-4 .,Eb,Cm,Eb+,Adim
Theoretical - No Known Name,,1 3b 4 6 7b 7 .,100101000111,6,3.7333,C Eb F A Bb B .,(L+s) (L) (2L) (s) (L-s) (s),8-568-4 .,F,,,Adim
Theoretical - No Known Name,,1 3b 3 4 5 7 .,100111010001,6,3.7333,C Eb E F G B .,(L+s) (L-s) (s) (L) (2L) (s),8-267-4 .,C,Cm Em,Eb+,
Theoretical - No Known Name,,1 2 4# 6 7b 7 .,101000100111,6,3.7333,C D F# A Bb B .,(L) (2L) (L+s) (s) (L-s) (s),8-247-3 .,D,Bm,Bb+,
Theoretical - No Known Name,,1 2 4# 5 5# 6 .,101000111100,6,3.7333,C D F# G G# A .,(L) (2L) (s) (L-s) (s) (L+s),8-568-1 .,D,,,
Theoretical - No Known Name,,1 2 4 4# 5b 5 6b .,101001111000,6,3.7333,C D F Gb G Ab .,(L) (L+s) (s) (L-s) (s) (2L),8-245-7 .,,Fm,,Ddim
Theoretical - No Known Name,,1 2 3b 3 5 6b .,101110011000,6,3.7333,C D Eb E G Ab .,(L) (s) (L-s) (L+s) (s) (2L),8-348-5 .,C Ab,Cm,Ab+,
Theoretical - No Known Name,,1 2 3b 3 4 6b .,101111001000,6,3.7333,C D Eb E F Ab .,(L) (s) (L-s) (s) (L+s) (2L),8-368-5 .,Ab,Fm,Ab+,Ddim
Theoretical - No Known Name,,1 2b 3b 5 7b 8b .,110100010011,6,3.7333,C Db Eb G Bb Cb .,(s) (L) (2L) (L+s) (s) (L-s),8-247-8 .,Eb,Cm,Cb+,Gdim
Theoretical - No Known Name,,1 2b 3b 5 6b 8b .,110100011001,6,3.7333,C Db Eb G Ab Cb .,(s) (L) (2L) (s) (L+s) (L-s),8-267-8 .,Ab,Cm Abm,Cb+,
Theoretical - No Known Name,,1 1# 2 4# 5# 7 .,111000101001,6,3.7333,C C# D F# G# B .,(L-s) (s) (2L) (L) (L+s) (s),8-245-1 .,,Bm,,G#dim
Theoretical - No Known Name,,1 1# 2 4 6 7b .,111001000110,6,3.7333,C C# D F A Bb .,(s) (L-s) (L+s) (L+s) (s) (L-s) (L),9-479-3 .,F Bb,Dm,F+,
Theoretical - No Known Name,,1 1# 2 4 5 7 .,111001010001,6,3.7333,C C# D F G B .,(L-s) (s) (L+s) (L) (L+s) (L),8-568-2 .,G,,,Bdim
Theoretical - No Known Name,,1 1# 2 3  5# 7 .,111010001001,6,3.7333,C C# D E G# B .,(L-s) (s) (L) (2L) (L+s) (s),8-247-1 .,E,C#m,C+,G#dim
Theoretical - No Known Name,,1 1# 2 3  5# 6 .,111010001100,6,3.7333,C C# D E G# A .,(L-s) (s) (L) (2L) (s) (L+s),8-267-1 .,A,C#m Am,C+,
Theoretical - No Known Name,,1 2b 2 3b 5 6 .,111100010100,6,3.7333,C Db D Eb G A .,(s) (L-s) (s) (2L) (L) (L+s),8-245-6 .,,Cm,,Adim
Adonai Malakh (Israel) 2b 1#,Adonai Malakh: Jewish,1 1# 2 3b 4 5 6 7b     .,111101010110,8,3.75,C C# D Eb F G A Bb .,(L-s) (s) (s) (L) (L) (L) (s) (L),10-8910-4 .,Eb F Bb,Cm Dm Gm,F+,Adim
Theoretical - No Known Name,,1 2 3b 4 4# 5 6b 7b  .,101101111010,8,3.75,C D Eb F F# G Ab Bb .,(L) (s) (L) (L-s) (s) (s) (L) (L),10-8910-5 .,Eb Ab Bb,Cm Fm Gm,Bb+,Ddim
Spanish 8 tones (all b s) in 12edo),Espla's scale Ahava Rabba (Jewish),1 2b 3b 3 4 5b 6b 7b .,110111101010,8,3.75,C Db Eb E F Gb Ab Bb .,(s) (L) (L) (s) (s) (L) (L) (L),10-8910-7 .,Db Gb Ab,Ebm Fm Bbm,Ab+,Cdim
