Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Unison,,1 .,100000000000,1,?,C  .,(5L+2s),0-0-1 .,,,,
Template for any scale,template any,.,,,?,.,,.,,,,
,,,,,?,,,,,,,
Fifth Interval,Niagari: Japan,1 5 .,100000010000,2,1,C G .,(3L+s) (2L+s),1-0-1 .,,,,
Fourth,Honchoshi: Japan,1 4 .,100001000000,2,1,C F .,(2L+s) (3L+s),1-0-2 .,,,,
Theoretical - No Known Name,DADGAD,1 2 5 .,101000010000,3,1.3333,C D G .,(L) (2L+s) (2L+s),2-0-1 .,,,,
Sanagari (Japan),,1 4 7b .,100001000010,3,1.3333,C F Bb .,(2L+s) (2L+s) (L),2-0-3 .,,,,
Raga Sarvarsi (India),Warao tritonic: S. America,1 4 5 .,100001010000,3,1.3333,C F G .,(2L+s) (L) (2L+s),2-0-2 .,,,,
Theoretical - No Known Name,,1 2 5 7 .,101000010001,5,1.6,C D G B .,(L) (2L+s) (2L) (s),5-45-1 .,G,,,
Theoretical - No Known Name,Chord Csus4,1 3 4 5  .,100011010000,5,1.6,C E F G .,(2L) (s) (L) (2L+s),5-45-2 .,C,,,
Theoretical - No Known Name,,1 4 6 7b .,100001000110,5,1.6,C F A Bb .,(2L+s) (2L)(s) (L),5-45-3 .,F,,,
Theoretical - No Known Name,,1 2b 3b 6b .,110100001000,5,1.6,C Db Eb Ab .,(s) (L) (2L+s) (2L),5-45-6 .,Ab,,,
Major b7 Suspend 4th Chord,,1 4 5 7b .,100001010010,4,1.6667,C F G Bb .,(2L+s) (L) (L+s) (L),3-0-3 .,,,,
Major Suspended 4th Chord,Genus Primum,1 2 4 5 .,101001010000,4,1.6667,C D F G .,(L) (L+s) (L) (2L+s),3-0-2 .,,,,
Theoretical - No Known Name,,1 2 5 6 .,101000010100,4,1.6667,C D G A .,(L) (2L+s) (L) (L+s),3-0-1 .,,,,
Theoretical - No Known Name,,1 3b 4 7b .,100101000010,4,1.6667,C Eb F Bb .,(L+s) (L) (2L+s) (L),3-0-4 .,,,,
"Blues Pentatonic Minor, Hard Japan descending","Chord Cm11 - Pyongjo Kyemyonjo (Korea) Minyo (Japan Raga Dhani (Suddha Dhanyasi),  Abheri, Udhayaravi Chandrika, Qing Shang, Gu Xian,  Jia Zhong, Yu: China, P'yongjo-kyemyonjo: Korea, Minyo:  Japan, Lai Yai, Lai Noi: Laos, Peruvian Pentatonic 2,   Bati: Ethiopia)",1 3b 4 5 7b .,100101010010,5,2,C Eb F G Bb .,(L+s) (L) (L) (L+s) (L),4-0-4 .,Eb,Cm,,
"Egyptian , Suspended Pentatonic","Yo: Japan,  Raga Madhyamavati, Madhmat Sarang, Megh, Shang, Rui Bin, Jin Yu, Qing Yu: China",1 2 4 5 7b .,101001010010,5,2,C D F G Bb .,(L) (L+s) (L) (L+s) (L),4-0-3 .,Bb,Gm,,
Major Pentatonic,"Ryosen, Yona Nuki Major:  Japan, Man Jue, Gong: China, Raga Bhopali (Bhup), Mohanam,  Deskar, Bilahari, Kokila, Jait Kalyan, Peruvian  Pentatonic 1, Ghana pent.2, Tezeta Major (Tizita):  EthiopiaChord C69,",1 2 3 5 6 .,101010010100,5,2,C D E G A .,(L) (L) (L+s) (L) (L+s),4-0-1 .,C,Am,,
"Ritusen Japan, Scottish Pentatonic (as Slendro example)","Ritsu (Gagaku): Japan, Zhi Zheng: China, P'yongjo: Korea, Bac: Vietnam, Lai Soutsanaen, Lai Po Sai, Lai Soi: Laos, Raga Devakriya, Durga,  Suddha Saveri, Arabhi,Zhi (China) (India) Ujo (Korea)",1 2 4 5 6 .,101001010100,5,2,C D F G A .,(L) (L+s) (L) (L) (L+s),4-0-2 .,F,Dm,,
Theoretical - No Known Name,,1 2 6 .,101000000100,3,2,C D A .,(L) (3L+s) (L+s),3-2-1 .,,,,
Theoretical - No Known Name,,1 5 7b .,100000010010,3,2,C G Bb .,(3L+s) (L+s) (L),3-2-3 .,,,,
Ute Tritone (North America),,1 3b 7b .,100100000010,3,2,C Eb Bb .,(L+s) (3L+s) (L),3-3-4 .,,,,
Theoretical - No Known Name,,1 3b 4 .,100101000000,3,2,C Eb F .,(L+s) (L) (3L+s),3-2-4 .,,,,
Theoretical - No Known Name,,1 5 6 .,100000010100,3,2,C G A .,(3L+s) (L) (L+s),3-3-1 .,,,,
Theoretical - No Known Name,,1 2 4 .,101001000000,3,2,C D F .,(L) (L+s) (3L+s),3-3-2 .,,,,
"Blues Pentatonic Minor, Hard Japan descending","3b s  Raga Malkauns 11/567891011/4 in 12edo) Malakosh, Raga Hindola,                  Blues Minor, Man Gong, Quan Ming, Yi Ze,                  Jiao: China",1 3b 4 6b 7b .,100101001010,5,2,C Eb F Ab Bb .,(L+s) (L) (L+s) (L) (L),4-0-5 .,Ab,Fm,,
Do Re Wholetone or Large Interval,,1 2 .,101000000000,2,2,C D .,(L) (4L+2s),2-2-1 .,,,,
Flat Seventh Interval,Warao ditonic: S. America,1 7b .,100000000010,2,2,C Bb .,(4L+2s) (L),2-2-3 .,,,,
Eskimo Tetratonic,Alaska: Bethel,1 2 3 5 .,101010010000,4,2.1667,C D E G .,(L) (L) (L+s) (2L+s),4-4-1 .,C,,,
Theoretical - No Known Name,,1 2 3 6 .,101010000100,4,2.1667,C D E A .,(L) (L) (2L+s) (L+s),4-2-1 .,,Am,,
Theoretical - No Known Name,,1 2 5 7b .,101000010010,4,2.1667,C D G Bb .,(L) (2L+s) (L+s) (L),4-2-3 .,,Gm,,
Theoretical - No Known Name,Chord Cminor sus4,1 3b 4 5 .,100101010000,4,2.1667,C Eb F G .,(L+s) (L) (L) (2L+s),4-2-4 .,,Cm,,
Major add 9 e.g. Bb add9,,1 2 4 7b .,101001000010,4,2.1667,C D F Bb .,(L) (L+s) (2L+s) (L),4-4-3 .,Bb,,,
Theoretical - No Known Name,,1 4 6b 7b .,100001001010,4,2.1667,C F Ab Bb .,(2L+s) (L+s) (L) (L),4-2-5 .,,Fm,,
Major add 9 e.g. F add9,,1 4 5 6 .,100001010100,4,2.1667,C F G A  .,(2L+s) (L) (L) (L+s),4-4-2 .,F,,,
Major add 9 e.g. Ab add9,,1 3b 6b 7b .,100100001010,4,2.1667,C Eb Ab Bb .,(L+s) (2L+s) (L) (L),4-4-5 .,Ab,,,
Theoretical - No Known Name,,1 4 4# 5 6 7b 7 .,100001110111,7,2.2857,C F F# G A Bb B .,(2L+s) (L-s) (s) (L) (s) (L-s) (s),8-57-3 .,F,,,
Theoretical - No Known Name,,1 2 4 4# 5 6 7b 7 .,101001110111,8,2.2857,C D F F# G A Bb B .,(L) (L+s) (L-s) (s) (L) (s) (L-s) (s),8-7-3 .,D F G Bb,Dm Gm Bm,Bb+,Bdim
Theoretical - No Known Name,,1 2 3b 3 4 7b 7 .,101111000011,7,2.2857,C D Eb E F Bb B .,(L) (s) (L-s) (s) (2L+s) (L-s) (s),8-57-4 .,Bb,,,Bdim
Theoretical - No Known Name,,1 2 3b 3 4 5 7b 7 .,101111010011,8,2.2857,C D Eb E F G Bb B .,(L) (s) (L-s) (s) (L) (L+s) (L-s) (s),8-7-4 .,C Eb G Bb,Cm Em Gm,Eb+,Edim Bdim
Theoretical - No Known Name,,1 2b 5b 5 6b 7b 8b .,110000111011,7,2.2857,C Db Gb G Ab Bb Cb .,(s) (2L+s) (L-s) (s) (L) (s) (L-s),8-57-8 .,Gb,,,Gdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 8b .,110111100001,7,2.2857,C Db Eb Fb F Gb Cb .,(s) (L) (s) (L-s) (s) (2L+s) (L-s),8-57-9 .,Cb,,Cb+,Cdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 6b  8b .,110111101001,8,2.2857,C Db Eb Fb F Gb Ab Cb .,(s) (L) (s) (L-s) (s) (L) (L+s) (L-s),8-7-9 .,Db Fb Ab Cb,Dbm Fm Abm,Fb+ Cb+,Cdim Fdim
Theoretical - No Known Name,,1 1# 2 3 5 5# 6 7 .,111010011101,8,2.2857,C C# D E G G# A B .,(L-s) (s) (L) (L+s) (L-s) (s) (L) (s),8-7-1 .,C E G A,C#m Em Am,C+,C#dim G#dim
Theoretical - No Known Name,,1 2b 2 3b 6b 6 7b .,111100001110,7,2.2857,C Db D Eb Ab A Bb .,(s) (L-s) (s) (2L+s) (L-s) (s) (L),8-57-6 .,Ab,,,Adim
Theoretical - No Known Name,,1 2b 2 3b 4 6b 6 7b .,111101001110,8,2.2857,C Db D Eb F Ab A Bb .,(s) (L-s) (s) (L) (L+s) (L-s) (s) (L),8-7-6 .,Db F Ab Bb,Dm Fm Bbm,Db+,Ddim Adim
Lydian Hexatonic,"Raga Kumud,  Sankara (Shankara), Prabhati, Chord CMaj769",1 2 3 5 6 7 .,101010010101,6,2.3333,C D E G A B .,(L) (L) (L+s) (L) (L) (s),5-0-1 .,C G,Em Am,,
Mixolydian Hexatonic,"Yosen (Japan). Raga Darbar, Narayani, Suposhini (India) P'yongjo: Korea,  Andolika, Gorakh Kalyan",1 2 4 5 6 7b .,101001010110,6,2.3333,C D F G A Bb .,(L) (L+s) (L) (L) (s) (L),5-0-3 .,F Bb,Dm Gm,,
Phrygian Hexatonic,"Raga Gopikavasantam, Desya Todi,  Jayantasri Chord Cm7b6b9sus4",1 3b 4 5 6b 7b .,100101011010,6,2.3333,C Eb F G Ab Bb .,(L+s) (L) (L) (s) (L) (L),5-0-5 .,Eb Ab,Cm Fm,,
"Ritsu Japan, Raga Suddha Todi",,1 2b 3b 4 6b 7b .,110101001010,6,2.3333,C Db Eb F Ab Bb .,(s) (L) (L) (L+s) (L) (L),5-0-6 .,Db Ab,Fm Bbm,,
Scottish Hexatonic Arezzo Major Diatonic Hexachord,"Raga Kambhoji, Devarangini, Sama (Syama)",1 2 3 4 5 6 .,101011010100,6,2.3333,C D E F G A .,(L) (L) (s) (L) (L) (L+s),5-0-2 .,C F,Dm Am,,
Minor 7th e.g. Dm7 = F6 Raga Bhavani (India),,1 2 4 6 .,101001000100,4,2.3333,C D F A .,(L) (L+S) (2L) (L+s),4-3-2 .,F,Dm,,
Minor 7th e.g. Am7 = C6,Chord C6,1 3 5 6 .,100010010100,4,2.3333,C E G A .,(2L) (L+s) (L) (L+s),4-3-1 .,C,Am,,
Theoretical - No Known Name,,1 3b 4 6b .,100101001000,4,2.3333,C Eb F Ab .,(L+s) (L) (L+s) (2L),4-3-5 .,Ab,Fm,,
Minor Hexatonic,"Chord Cm9sus4 - Nayaki, Yo (Japan), Eskimo Hexatonic 1 (North America Raga Manirangu, Palasi Pushpalithika (Puspalatika), Suha Sughrai,  Eskimo Hexatonic 1 (Alaska: King Island))",1 2 3b 4 5 7b .,101101010010,6,2.3333,C D Eb F G Bb .,(L) (s) (L) (L) (L+s) (L),5-0-4 .,Eb Bb,Cm Gm,,
Minor Seventh Chord e.g. Cm7 = Eb6,Bi Yu (China),1 3b 5 7b .,100100010010,4,2.3333,C Eb G Bb .,(L+s) (2L) (L+s) (L),4-3-4 .,Eb,Cm,,
Major Pentachord,Raga Budhamanohari,1 2 3 4 5 .,101011010000,5,2.4,C D E F G .,(L) (L) (s) (L) (2L+s),5-5-2 .,C,,,
Minor Pentachord Chad Gadyo (Israel),"Raga Purnalalita,             Ghana Pentatonic 1,Nando-kyemyonjo:                  Korea",1 2 3b 4 5 .,101101010000,5,2.4,C D Eb F G .,(L) (s) (L) (L) (2L+s),5-2-4 .,,Cm,,
"Mixolydian Pentatonic, Raga Savethri",Chord C7sus4,1 3 4 5 7b .,100011010010,5,2.4,C E F G Bb .,(2L) (s) (L) (L+s) (L),6-56-3 .,C,,,Edim
Raga Neroshta,,1 2 3 6 7 .,101010000101,5,2.4,C D E A B .,(L) (L) (2L+s) (L) (s),5-2-1 .,,Am,,
Theoretical - No Known Name,,1 4 5 6b 7b .,100001011010,5,2.4,C F G Ab Bb .,(2L+s) (L) (s) (L) (L),5-2-5 .,,Fm,,
Theoretical - No Known Name,,1 2b 3b 4 7b .,110101000010,5,2.4,C Db Eb F Bb .,(s) (L) (L) (2L+s) (L),5-2-6 .,,Bbm,,
Theoretical - No Known Name,,1 2 5 6 7 .,101000010101,5,2.4,C D G A B .,(L) (2L+s) (L) (L) (s),5-5-1 .,G,,,
Theoretical - No Known Name,,1 2 3b 4 7b .,101101000010,5,2.4,C D Eb F Bb .,(L) (s) (L) (2L+s) (L),5-5-4 .,Bb,,,
Raga Kuntvarali (Kuntalavarali),,1 4 5 6 7b .,100001010110,5,2.4,C F G A Bb .,(2L+s) (L) (L) (s) (L),5-5-3 .,F,,,
Theoretical - No Known Name,,1 2b 3b 6b 7b .,110100001010,5,2.4,C Db Eb Ab Bb .,(s) (L) (2L+s) (L) (L),5-5-6 .,Ab,,,
Raga Matha Kokila (India),Matkokil,1 2 5 6 7b .,101000010110,5,2.4,C D G A Bb .,(L) (2L+s) (L) (s) (L),5-2-3 .,,Gm,,
Oriental Raga Guhamanohari (India),,1 2 4 6 7b .,101001000110,5,2.6,C D F A Bb .,(L) (L+s) (2L) (s) (L),5-4-3 .,F Bb,Dm,,
Raga Hamsadhvani (India),Chord C Major9,1 2 3 5 7 .,101010010001,5,2.6,C D E G B .,(L) (L) (L+s) (2L) (s),5-4-1 .,C G,Em,,
Raga Nagasvaravali Raga Mand (India),Chord C6sus4,1 3 4 5 6 .,100011010100,5,2.6,C E F G A .,(2L) (s) (L) (L) (L+s),5-4-2 .,C F,Am,,
Raga Shailaja (India),Varini Chord C minor7b9,1 3b 5 6b 7b .,100100011010,5,2.6,C Eb G Ab Bb .,(L+s) (2L) (s) (L) (L),5-4-5 .,Eb Ab,Cm,,
Raga Chitthakarshini (India),,1 2b 3b 4 6b .,110101001000,5,2.6,C Db Eb F Ab .,(s) (L) (L) (L+s) (2L),5-4-6 .,Db Ab,Fm,,
Raga Mamata (India) Major 6th,,1 3 5 6 7 .,100010010101,5,2.6,C E G A B .,(2L) (L+s) (L) (L) (s),5-3-1 .,C,Em Am,,
Raga Kokil Pancham (India),Chord C minor 6 sus4,1 3b 4 5 6b .,100101011000,5,2.6,C Eb F G Ab .,(L+s) (L) (L) (s) (2L),5-3-5 .,Ab,Cm Fm,,
Theoretical - No Known Name,,1 2 3 4 6 .,101011000100,5,2.6,C D E F A .,(L) (L) (s) (2L) (L+s),5-3-2 .,F,Dm Am,,
Theoretical - No Known Name,,1 2b 4 6b 7b .,110001001010,5,2.6,C Db F Ab Bb .,(s) (2L) (L+s) (L) (L),5-3-6 .,Db,Fm Bbm,,
Theoretical - No Known Name,Chord C minor 9,1 2 3b 5 7b .,101100010010,5,2.6,C D Eb G Bb .,(L) (s) (2L) (L+s) (L),5-3-4 .,Eb,Cm Gm,,
"Aeolian Natural Minor, Asavari Asc Nats. A to G","Greek Medieval Hypodorian,  Greek Medieval Aeolian,  Greek Hyperphrygian,  Natural Minor, Asavari That,  Mela Natabhairavi,  Raga Jaunpuri, Adana,  Dhanyasi,  Jingla,   Makam Buselik,  Nihavend,  Peruvian Minor,  Se, Chiao: China,  Geez, Ezel: Ethiopia,  Kiourdi descending: Greece Chord Cm9b6sus4 - Gregorian Scale 2,  Assari Thaat (India),  Kitmun (Sumarian) Cushak (Armenia)",1 2 3b 4 5 6b 7b    .,101101011010,7,2.6667,C D Eb F G Ab Bb .,(L) (s) (L) (L) (s) (L) (L),6-0-5 .,Eb Ab Bb,Cm Fm Gm,,Ddim
"Dorian, Kafi  D to C asc. naturals","Greek Phrygian, Medieval Dorian,  Medieval Hypomixolydian, That,  Mela Kharaharapriya,  Raga Bageshri,  Bhimpalasi, Nayaki Kanada, Sriraga,  Ritigaula, Huseni, Kanara, Mischung 5, Gregorian nr.8,  Eskimo Heptatonic,  Yu: China,  Hyojo, Oshikicho,  Banshikicho: Japan,  Nam: Vietnam  Chord Cm69sus4 -  Eskimo Heptatonic (N. America)  Embulum (Sumerian)",1 2 3b 4 5 6 7b .,101101010110,7,2.6667,C D Eb F G A Bb .,(L) (s) (L) (L) (L) (s) (L),6-0-4 .,Eb F Bb,Cm Dm Gm,,Adim
Dorian Tetrachord,,1 2 3b 4 .,101101000000,4,2.6667,C D Eb F .,(L) (s) (L) (3L+s),5-25-4 .,,,,
"Ionian, Major, Bilaval  C to B asc.  nats.","Greek Lydian,  Medieval Ionian,  Medieval Hypolydian,  Major, Bilaval  Thaat,  Mela Shankarabharanam,  Ghana Heptatonic,  Peruvian Major, 4th plagal Byzantine,  Ararai: Ethiopia,  Makam Cargah,  Ajam Ashiran,  Dastgah-e Mahur, Dastgah-e Rast  Panjgah,  Xin: China, DS2  Chord CMaj69sus4 -  Nid Murub (Sumerian)",1 2 3 4 5 6 7 .,101011010101,7,2.6667,C D E F G A B .,(L) (L) (s) (L) (L) (L) (s),6-0-2 .,C F G,Dm Em Am,,Bdim
Locrian  - B to A Ascending naturals,"Greek Mixolydian,  Greek Hyperdorian,  Medieval Hypophrygian,  Medieval Locrian,  Pien chih: China,  Makam Lami, Yishtabach Qablitum (Sumerian), Yishtabach (Jewish)",1 2b 3b 4 5b 6b 7b .,110101101010,7,2.6667,C Db Eb F Gb Ab Bb .,(s) (L) (L) (s) (L) (L) (L),6-0-7 .,Db Gb Ab,Ebm Fm Bbm,,Cdim
"Lydian, Kalyan F to E ascending naturals","Greek Hypolydian,  Medieval Lydian,  Kalyan  That (Yaman),  Mela Mecakalyani,  Raga Shuddh  Kung, Gu: China  Ping (China)   Nis Garb.ri (Mesopotamian)",1 2 3 4# 5 6 7 .,101010110101,7,2.6667,C D E F# G A B .,(L) (L) (L) (s) (L) (L) (s),6-0-1 .,C D G,Em Am Bm,,
Major Triad e.g. C,Raga Malasri Peruvian tritone2,1 3 5 .,100010010000,3,2.6667,C E G .,(2L) (L+s) (2L+s),4-34-1 .,C,,,
"Mixolydian, Khamaj G to F ascend. nats","Greek Hypophrygian,  Greek Ionian (Iastian),  Medieval Mixolydian,  Greek Medival Hypoionian, Khamaj That,  Mela Harikambhoji,  Raga Harini, Janjhuti, Khambhavati,  Surati, Balahamsa, Devamanohari, Mischung 3,  Gregorian scale 7, Enharmonic Byzantine Liturgical mode,  Ching, Shang: China  Chord C69sus4 -  Mitum (Sumerian)",1 2 3 4 5 6 7b .,101011010110,7,2.6667,C D E F G A Bb .,(L) (L) (s) (L) (L) (s) (L),6-0-3 .,C F Bb,Dm Gm Am,,Edim
"Phrygian, Bhairavi  E to D asc. nats.(as 11/678910/4 in 12edo)","Greek Dorian,  Medieval Phrygian,  Greek Medieval Hypoaeolian,  Bhairavi  That,  Mela Hanumatodi,  Raga Asavari (Asaveri),  Bilashkhani Todi, Ghanta, Makam Kurd,   In, Zokuso: Japan,  Ousak: Greece,  Major inverse Ishartum (Sumerian),   Gregorian Scale 3,  Zokuso Japan",1 2b 3b 4 5 6b 7b .,110101011010,7,2.6667,C Db Eb F G Ab Bb .,(s) (L) (L) (L) (s) (L) (L),6-0-6 .,Db Eb Ab,Cm Fm Bbm,,Gdim
Major Triad e.g. F,Chord F Major,1 4 6 .,100001000100,3,2.6667,C F A .,(2L+s) (2L) (L+s),4-34-2 .,F,,,
Do Re Mi,,1 2 3 .,101010000000,3,2.6667,C D E .,(L) (L) (3L+2s),4-24-1 .,,,,
Minor Triad e.g. Am Raga Bilwadala (India),,1 3 6 .,100010000100,3,2.6667,C E A .,(2L) (2L+s) (L+s),4-23-1 .,,Am,,
Theoretical - No Known Name,,1 6b 7b .,100000001010,3,2.6667,C Ab Bb .,(3L+2s) (L) (L),4-24-5 .,,,,
Major Triad e.g. Ab,,1 3b 6b .,100100001000,3,2.6667,C Eb Ab .,(L+s) (2L+s) (2L),4-34-5 .,Ab,,,
Minor Triad e.g. Cm,"Ute tritonic, Peruvian tritonic",1 3b 5 .,100100010000,3,2.6667,C Eb G .,(L+s) (2L) (2L+s),4-23-4 .,,Cm,,
Minor Triad e.g. Fm,,1 4 6b  .,100001001000,3,2.6667,C F Ab .,(2L+s) (L+s) (2L),4-23-5 .,,Fm,,
Theoretical - No Known Name,,1 3 6 7 .,100010000101,4,2.6667,C E A B .,(2L) (2L+s) (L) (s),5-23-1 .,,Am,,
Theoretical - No Known Name,,1 2 3b 5 .,101100010000,4,2.6667,C D Eb G .,(L) (s) (2L) (2L+s),5-23-4 .,,Cm,,
Theoretical - No Known Name,,1 4 5 6b .,100001011000,4,2.6667,C F G Ab .,(2L+s) (L) (s) (2L),5-23-5 .,,Fm,,
Theoretical - No Known Name,,1 2b 4 7b .,110001000010,4,2.6667,C Db F Bb .,(s) (2L) (2L+s) (L),5-23-6 .,,Bbm,,
Theoretical - No Known Name,,1 2 6 7 .,101000000101,4,2.6667,C D A B .,(L) (3L+s) (L) (s),5-25-1 .,,,,
Theoretical - No Known Name,,1 5 6 7b .,100000010110,4,2.6667,C G A Bb .,(3L+s) (L) (s) (L),5-25-3 .,,,,
Theoretical - No Known Name,,1 2b 3b 7b .,110100000010,4,2.6667,C Db Eb Bb .,(s) (L) (3L+s) (L),5-25-6 .,,,,
Theoretical - No Known Name,,1 2 7b .,101000000010,3,2.6667,C D Bb .,(L) (3L+2s) (L),4-24-3 .,,,,
Dominant Pentatonic,C9 chord,1 2 3 5 7b .,101010010010,5,2.8,C D E G Bb .,(L) (L) (L+s) (L+s) (L),6-26-3 .,C,Gm,,Edim
"Dorian Pentatonic, Kumoi Japan",Raga Sivaranjini (Shivranjani) Akebono (Japan),1 2 3b 5 6 .,101100010100,5,2.8,C D Eb G A .,(L) (s) (2L) (L) (L+s),6-23-4 .,,Cm,,Adim
Han - kumoi (Japan),"Raga Shobhavari, Sutradhari",1 2 4 5 6b .,101001011000,5,2.8,C D F G Ab .,(L) (L+s) (L) (s) (2L),6-23-5 .,,Fm,,Ddim
"Kokin-Joshi, Soft Ascend Japan","Kokin-joshi, Han-Iwato,  In Sen: Japan, Raga Vibhavari (Revati), Bairagi,Miyakobushi (Japan)",1 2b 4 5 7b .,110001010010,5,2.8,C Db F G Bb .,(s) (2L) (L) (L+s) (L),6-23-6 .,,Bbm,,Gdim
Kung China,,1 2 3 4# 6 .,101010100100,5,2.8,C D E F# A .,(L) (L) (L) (L+s) (L+s),6-26-1 .,D,Am,,
Minor 6th Added Sixth Pentatonic,Kyemyonjo: Korea,1 3b 4 5 6 .,100101010100,5,2.8,C Eb F G A .,(L+s) (L) (L) (L) (L+s),6-26-4 .,F,Cm,,Adim
"Raga Chandrakauns Kafi, Surya (India)",Varamu,1 3b 4 6 7b .,100101000110,5,2.8,C Eb F A Bb .,(L+s) (L) (2L) (s) (L),6-56-4 .,F,,,Adim
Raga Desh,,1 2 4 5 7 .,101001010001,5,2.8,C D F G B .,(L) (L+s) (L) (2L) (s),6-56-2 .,G,,,Bdim
Raga Gandharavam,Chord Cm7b6sus4,1 2b 3b 4 5 7b .,110101010010,6,2.8,C Db Eb F G Bb .,(s) (L) (L) (L) (L+s) (L),6-2-6 .,Eb,Cm Bbm,,Gdim
Raga Harikauns (India) (Flats),Chin: China,1 3b 5b 6b 7b .,100100101010,5,2.8,C Eb Gb Ab Bb .,(L+s) (L+s) (L) (L) (L),6-26-7 .,Ab,Ebm,,Cdim
Raga Jayakauns (india),,1 3b 4 5b 7b .,100101100010,5,2.8,C Eb F Gb Bb .,(L+s) (L) (s) (2L) (L),6-23-7 .,,Ebm,,Cdim
Raga Shri Kalyan,,1 2 4# 5 6 .,101000110100,5,2.8,C D F# G A .,(L) (2L) (s) (L) (L+s),6-56-1 .,D,,,
Raga Yamuna Kalyani,"Kalyani Keseri,  Airavati,  Ancient Chinese",1 2 3 4# 5 6 .,101010110100,6,2.8,C D E F# G A .,(L) (L) (L) (s) (L) (L+s),6-6-1 .,C D,Am,,
Raga Mrunganandana (India),,1 2 3 4# 6 7 .,101010100101,6,2.8,C D E F# A B .,(L) (L) (L) (L+s) (L) (s),6-2-1 .,D,Am Bm,,
Theoretical - No Known Name,Chord C13add9,1 2 3 5 6 7b .,101010010110,6,2.8,C D E G A Bb .,(L) (L) (L+s) (L) (s) (L),6-2-3 .,C,Gm Am,,Edim
Raga Suddha Bangala (India),Gauri  Velavali,1 2 3b 4 5 6 .,101101010100,6,2.8,C D Eb F G A  .,(L) (s) (L) (L) (L) (L+s),6-2-4 .,F,Cm Dm,,Adim
Raga Navamanohari (India),,1 2 4 5 6b 7b .,101001011010,6,2.8,C D F G Ab Bb .,(L) (L+s) (L) (s) (L) (L),6-2-5 .,Bb,Fm Gm,,Ddim
Theoretical - No Known Name,Chord Cm7addb6b5sus4,1 3b 4 5b 6b 7b .,100101101010,6,2.8,C Eb F Gb Ab Bb .,(L+s) (L) (s) (L) (L) (L),6-2-7 .,Ab,Ebm Fm,,Cdim
Raga Hindol (India),"Sunada Vinodini),                  Sanjh ka Hindol",1 3 4# 6 7 .,100010100101,5,2.8,C E F# A B .,(2L) (L) (L+s) (L) (s),6-23-1 .,,Am,,
Chaio (all b s) 10/4678910/3 in 12 edo),,1 2 4 6b 7b .,101001001010,5,2.8,C D F Ab Bb .,(L) (L+s) (L+s) (L) (L),6-26-5 .,Bb,Fm,,Ddim
Raga Chhaya Todi (India),Locrian Pentatonic 1,1 2b 3b 5b 6b .,110100101000,5,2.8,C Db Eb Gb Ab .,(s) (L) (L+s) (L) (2L),6-56-7 .,Ab,,,Cdim
Raga Nagagandhari (India),,1 2 4 5 6 7 .,101001010101,6,2.8,C D F G A B .,(L) (L+s) (L) (L) (L) (s),6-6-2 .,F G,Dm,,Bdim
"Raga Siva Kambhoji, Vivardhini (India)",Andhali Chord C9sus4,1 2 3 4 5 7b .,101011010010,6,2.8,C D E F G Bb .,(L) (L) (s) (L) (L+s) (L),6-6-3 .,C Bb,Gm,,Edim
Raga Manohari (India),Malavasri Chord Cm13sus4,1 3b 4 5 6 7b .,100101010110,6,2.8,C Eb F G A Bb .,(L+s) (L) (L) (L) (s) (L),6-6-4 .,Eb F,Cm,,Adim
Theoretical - No Known Name,,1 2 3b 4 6b 7b .,101101001010,6,2.8,C D Eb F Ab Bb .,(L) (s) (L) (L+s) (L) (L),6-6-5 .,Ab Bb,Fm,,Ddim
Raga Bhavani (India),,1 2b 3b 5b 6b 7b .,110100101010,6,2.8,C Db Eb Gb Ab Bb .,(s) (L) (L+s) (L) (L) (L),6-6-7 .,Gb Ab,Ebm,,Cdim
Major Tetrachord,,1 2 3 4 .,101011000000,4,2.8333,C D E F .,(L) (L) (s) (3L+s),5-35-2 .,,,,
Phrygian Tetrachord,,1 2b 3b 4 .,110101000000,4,2.8333,C Db Eb F .,(s) (L) (L) (3L+s),5-24-6 .,,,,
Warao Minor Trichord,Warao tetratonic,1 2 3b 7b .,101100000010,4,2.8333,C D Eb Bb .,(L) (s) (3L+s) (L),5-35-4 .,,,,
Theoretical - No Known Name,,1 2 6 7b .,101000000110,4,2.8333,C D A Bb .,(L) (3L+s) (L) (L),5-24-3 .,,,,
Theoretical - No Known Name,,1 5 6b 7b .,100000011010,4,2.8333,C G Ab Bb .,(3L+s) (s) (L) (L),5-24-5 .,,,,
Theoretical - No Known Name,,1 5 6 7 .,100000010101,4,2.8333,C G A B .,(3L+s) (L) (L) (s),5-35-1 .,,,,
Theoretical - No Known Name,,1 2b 6b 7b .,110000001010,4,2.8333,C Db Ab Bb .,(s) (3L+s) (L) (L),5-35-6 .,,,,
Theoretical - No Known Name,,1 2 3 7 .,101010000001,4,2.8333,C D E B .,(L) (L) (3L+s) (s),5-24-1 .,,,,
